,x,y,word,label
cpr,52.69861,-23.346064,cpr,3
kew,56.379036,-22.44522,kew,3
lggg,-11.043014,-21.803768,lggg,4
neee,34.50042,-28.364561,neee,3
Cer,-28.697802,4.721632,Cer,1
rnfer,8.217172,-44.03806,rnfer,3
"Anr,",-49.37371,-30.478222,"Anr,",1
Clen,-43.926792,-19.903141,Clen,1
wul,42.03272,-28.850866,wul,3
Grph,-46.583103,-19.076878,Grph,1
hrg,6.905329,-40.40726,hrg,3
fcue,-21.693148,-26.312578,fcue,4
Sf,-24.323915,-29.38025,Sf,4
nlze,28.149502,-19.739225,nlze,3
ebuggg,-25.40068,-0.4578321,ebuggg,0
fcu,18.659267,-15.841792,fcu,4
Flh,-21.97571,-18.239254,Flh,4
cnece,9.301259,-46.97093,cnece,3
Lu,-2.6369116,-30.81388,Lu,2
enblg,-11.980604,-34.92821,enblg,4
"ble,",30.438906,-22.306765,"ble,",3
ucce,-35.413784,-38.019756,ucce,1
Twer,-16.974007,-22.49997,Twer,4
"""T",-26.11821,-51.209698,"""T",2
cck,39.618683,-24.671835,cck,3
cuze,10.524442,-20.303766,cuze,4
rce,46.326622,-26.169914,rce,3
gne,49.292793,-26.869932,gne,3
"cr,",50.183163,-27.033968,"cr,",3
Refer,23.9978,5.971596,Refer,3
pence,-14.946762,-12.791538,pence,2
hp,18.605724,-13.754218,hp,2
uce,31.633835,-21.131306,uce,3
plfe,-11.451571,-34.903713,plfe,4
wel,3.5844426,-28.310102,wel,2
"PHP,",-6.904992,-32.293655,"PHP,",1
prbbl,17.579079,-28.784264,prbbl,0
bk,3.1952136,-30.321243,bk,2
"eg,",24.90767,-2.645552,"eg,",2
Cnec,-53.598206,-17.516777,Cnec,1
eble,-7.760253,-19.623585,eble,4
npulg,26.969967,-37.070156,npulg,2
err-e,-18.63481,-27.306244,err-e,4
b-be,-15.461521,-39.735992,b-be,4
pprch,-9.929097,-15.653109,pprch,4
cv,14.6245575,-40.33101,cv,3
